Molecule ChEMBL ID,Smiles,Standard Value
CHEMBL1649665,O=C(Cc1ccc(-n2nc(C(F)(F)F)c3c2CCCC3)cc1)NC1CCCC1,200
CHEMBL468092,CN(C/C=C\CN)C[C@H]1O[C@@H](n2cnc3c(N)nc(Cl)nc32)[C@H](O)[C@@H]1O,5000
CHEMBL480368,Cc1cc(C)c(NC(=O)Nc2cc3ccccc3cc2C(=O)NC2(C(=O)O)CCCC2)c(C)c1,33000
CHEMBL4289811,CCCNC(=O)c1ccc(CN(C)C(=O)c2cc(C(C)C)c(O)cc2O)cc1,5300
CHEMBL240185,O=C(c1ccc(F)cc1)N1CCN(c2ccc(OCCCN3CCCCC3)cc2)C(=O)C1.O=CO,100000
CHEMBL239099,N#Cc1ccc(C(=O)N2CCN(c3ccc(OC4CCN(C5CCC5)CC4)cc3)C(=O)C2)cc1.O=CO,100000
CHEMBL271621,CCOC(=O)C(Cc1ccc(Cl)cc1Cl)c1ccno1,11000
CHEMBL408443,Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@@H](C)OC(=O)[C@H](N)CC(C)C)c(C)c34)ccc2[nH]1,2700
CHEMBL456390,O=C1CCc2cc(-c3cncc4ccccc34)ccc2N1,2900
CHEMBL3673973,Cc1cnc2[nH]cc(Cc3cnc(NCc4ccc(C(F)(F)F)nc4)c(F)c3)c2c1,5000
CHEMBL552061,O=C(NC1CC1c1ccccc1)N1CCC(c2nc(-c3nccc4ccccc34)no2)CC1,10000
CHEMBL478834,CCOC(=O)N(Cc1ccccc1-c1ccccc1)[C@H]1CCNC1,3000
CHEMBL514209,O=C(CNC(=O)C1CCCC1)NC(c1ccccc1)c1ccc(Cl)cc1,50000
CHEMBL476567,CC(=O)NCC(=O)NC(c1ccccc1)c1ccc(Cl)cc1,50000
CHEMBL478036,O=C(CNC(=O)c1ccc(F)cc1)NCC1c2ccccc2CCc2ccccc21,50000
CHEMBL2387504,Cc1ccccc1-c1ccc2c(c1)[nH]c(=O)c1nc(-c3c(F)cccc3Cl)[nH]c12,17000
CHEMBL2387500,Cc1cccc(Cl)c1-c1nc2c(=O)[nH]c3cc(-c4ccccc4)ccc3c2[nH]1,30000
CHEMBL2387605,O=c1[nH]c2cc(-c3cccnc3)ccc2c2[nH]c(-c3ccccc3Cl)nc12,25000
CHEMBL2387604,O=c1[nH]c2cc(-c3ccco3)ccc2c2[nH]c(-c3ccccc3Cl)nc12,30000
CHEMBL2387601,O=c1[nH]c2cc(CCc3ccccc3)ccc2c2[nH]c(-c3ccccc3Cl)nc12,30000
CHEMBL2387594,CCc1ccc2c(c1)[nH]c(=O)c1nc(-c3ccccc3Cl)[nH]c12,21000
CHEMBL1934810,O=c1[nH]c2cc(Br)ccc2c2[nH]c(-c3ccccc3Cl)nc12,700
CHEMBL4633059,Cc1c(C(F)(F)F)oc2ncnc(SCC(=O)N3CC(=O)N(C)C3)c12,30000
CHEMBL389796,Cc1ncc(C2=C(c3cc(Cl)ccc3OCc3ccc(F)cc3)CCC2)cc1C(=O)O,9000
CHEMBL4447540,CCOC(=O)NC(=O)c1ccsc1NC(=O)c1nc2cnccc2s1,100
CHEMBL115876,c1ccc(CCCOc2ccc(-n3ccnc3)cc2)nc1,129
CHEMBL264961,CNC(=O)c1ccc(CN2CCC(c3ccc(C(=O)Nc4ccccc4N)cc3)CC2)cc1,10000
