Molecule ChEMBL ID,Standard Value,Smiles
CHEMBL1209187,1.17,CS(=O)(=O)Nc1cncc(-c2ccccc2O[C@H]2C[C@@H]3CNC[C@H]2C3)c1.Cl
CHEMBL1209221,31.0,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(N3C(=O)C4CCC3C4)c2)CCCCC1
CHEMBL1209222,11.0,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(N3CCCCC3=O)c2)CCCCC1
CHEMBL1209223,8.0,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(N3CCOCC3=O)c2)CCCCC1
CHEMBL1209242,0.84,CS(=O)(=O)Nc1cncc(-c2ccccc2O[C@@H]2C[C@H]3CNC[C@@H]2C3)c1.Cl
CHEMBL1209284,2.0,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(N3CCCNC3=O)c2)CCCCC1
CHEMBL1209285,5.0,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(N3CCCOCC3=O)c2)CCCCC1
CHEMBL1209286,138.0,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C3CCOCOC3)c2)CCCCC1
CHEMBL1209355,107.0,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(N3CCCOCC3)c2)CCCCC1
CHEMBL1209356,114.0,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C3CCCO3)c2)CC1
CHEMBL1209357,90.0,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C3(C)CCCO3)c2)CC1
CHEMBL1209358,111.0,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C3CCCCO3)c2)CC1
CHEMBL1209418,100.0,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C3COCCO3)c2)CC1
CHEMBL1209419,139.0,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(N3CC4CC3CO4)c2)CC1
CHEMBL1209893,11.0,CCc1cccc(C2(NC[C@@H](O)[C@H](Cc3cc(F)cc(F)c3)NC(C)=O)CCCCC2)c1
CHEMBL1213165,585.0,C[C@@H]1CCO[C@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c([O-])c3C(=O)N12.[Na+]
CHEMBL1214402,340000000.0,NC(=O)c1cnc(-c2cnc3c(Nc4ccc(C(F)(F)F)cn4)ccnc3n2)c(C(F)(F)F)c1
CHEMBL1222288,0.32,O=C(NC[C@H](NC(=O)c1c(Cl)cc2c(c1Cl)CCN(C(=O)c1ccc3ccoc3c1)C2)C(=O)O)c1cccs1
CHEMBL1222291,9.25,CCOC(=O)[C@H](CNC(=O)c1cccs1)NC(=O)c1c(Cl)cc2c(c1Cl)CCN(C(=O)c1ccc3ccoc3c1)C2
CHEMBL1222883,20.0,CN1C(=O)CC[C@H]1C(=O)NCc1cccc(C(F)(F)F)c1Cl
CHEMBL1223203,2.1,CN(C)CCNC(=O)c1ccc(-c2cnc3ccc(NCC4CC4)nn23)cc1
CHEMBL1223872,19.0,CN(C)C(=O)N[C@H]1CC[C@@H](CCN2[C@@H]3CC[C@H]2C[C@@H](Oc2cccc(C(N)=O)c2)C3)CC1
CHEMBL1223952,140.0,NC(=O)c1cccc(C[C@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccccc2)c1
CHEMBL1224151,16.0,COc1cc(/C=C2\CCCN([C@@H](C)c3ccc(F)cc3)C2=O)ccc1-n1cnc(C)c1
CHEMBL1234521,22.1,C=C[C@]1(C)C[C@@H](OC(=O)CSCCN(CC)CC)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O
CHEMBL1257302,265.0,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cc(C(C)(C)C)ncn2)CCCCC1
CHEMBL1257303,50.0,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C)c2)CC1
CHEMBL1257346,10.0,O=C(Nc1cccc(NC(=O)c2cccc(N3CCOCC3)c2)c1)c1cccc(OC2CCN(CC3CC3)CC2)c1
CHEMBL1257458,91.0,Cc1ccc([C@@H](C)N2[C@@H]3CC[C@H]2C[C@H](Oc2cccc(C(N)=O)c2)C3)cn1
CHEMBL1257532,135.0,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cncc(CC(C)(C)C)c2)CC1
CHEMBL1257534,0.25,Cn1ncc2c(Nc3ccc(S(C)(=O)=O)cc3)nc(-c3cccc4[nH]ncc34)nc21
CHEMBL1257535,0.8,Cn1ncc2c(Oc3ccc(S(C)(=O)=O)cc3)nc(-c3cccc4[nH]ncc34)nc21
CHEMBL1257578,130.0,Cc1ccc(CN2[C@@H]3CC[C@H]2C[C@H](Oc2cccc(C(N)=O)c2)C3)s1
CHEMBL1257652,7.6,Cn1ncc2c(-c3ccc(S(C)(=O)=O)cc3)nc(-c3cccc4[nH]ncc34)nc21
CHEMBL1257653,7.55,Cn1ncc2c(Oc3ccc(S(C)(=O)=O)cc3)cc(-c3cccc4[nH]ncc34)nc21
CHEMBL1257893,113.0,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2nc(CC(C)(C)C)cs2)CC1
CHEMBL1258002,104.0,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cnn(CC(C)(C)C)c2)CC1
CHEMBL1258279,83.0,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3CC2CCCCC2)c1
CHEMBL1258687,180.0,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cc(CC(C)(C)C)no2)CCCCC1
CHEMBL126,98.0,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1
CHEMBL1269597,10.2,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)[C@H](SCCN(C)C)C(=O)N(C)[C@@H](CC(C)(C)O)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C
CHEMBL1269840,48.0,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(-n3cccn3)c2)CCOCC1
CHEMBL1269841,12.0,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C3CCOC3)c2)CCOCC1
CHEMBL1269948,13.0,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNCc1cccc(C(C)(C)C)c1
CHEMBL1269949,7.0,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC(C)(C)c1cccc(C(C)(C)C)c1
CHEMBL1270163,143.0,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(-n3cccn3)c2)CC1
