Molecule ChEMBL ID,Smiles,Standard Value
CHEMBL2041764,Clc1ccccc1Sc1nc(C(Cl)(Cl)Cl)nc2ccccc12,26000.0
CHEMBL2041765,Clc1cccc(Sc2nc(C(Cl)(Cl)Cl)nc3ccccc23)c1,16000.0
CHEMBL2041766,Clc1ccc(Sc2nc(C(Cl)(Cl)Cl)nc3ccccc23)cc1,25000.0
CHEMBL2041767,Fc1ccccc1Sc1nc(C(Cl)(Cl)Cl)nc2ccccc12,28000.0
CHEMBL2041768,Fc1cccc(Sc2nc(C(Cl)(Cl)Cl)nc3ccccc23)c1,15500.0
CHEMBL2041769,Fc1ccc(Sc2nc(C(Cl)(Cl)Cl)nc3ccccc23)cc1,30000.0
CHEMBL2041770,FC(F)(F)c1ccccc1Sc1nc(C(Cl)(Cl)Cl)nc2ccccc12,28000.0
CHEMBL2041945,FC(F)(F)c1cccc(Sc2nc(C(Cl)(Cl)Cl)nc3ccccc23)c1,17500.0
CHEMBL2041946,FC(F)(F)c1ccc(Sc2nc(C(Cl)(Cl)Cl)nc3ccccc23)cc1,13000.0
CHEMBL2041947,Cc1ccccc1Sc1nc(C(Cl)(Cl)Cl)nc2ccccc12,52000.0
CHEMBL2041948,Cc1cccc(Sc2nc(C(Cl)(Cl)Cl)nc3ccccc23)c1,35000.0
CHEMBL2041949,Cc1ccc(Sc2nc(C(Cl)(Cl)Cl)nc3ccccc23)cc1,30000.0
CHEMBL2041950,COc1ccccc1Sc1nc(C(Cl)(Cl)Cl)nc2ccccc12,32000.0
CHEMBL2041951,COc1cccc(Sc2nc(C(Cl)(Cl)Cl)nc3ccccc23)c1,12000.0
CHEMBL2041952,COc1ccc(Sc2nc(C(Cl)(Cl)Cl)nc3ccccc23)cc1,8000.0
CHEMBL2041953,Clc1ccc(Sc2nc(C(Cl)(Cl)Cl)nc3ccccc23)c(Cl)c1,18200.0
CHEMBL2041954,Clc1ccc(Sc2ncnc3ccccc23)cc1,16700.0
CHEMBL2041955,FC(F)(F)c1nc(Sc2ccc(Cl)cc2)c2ccccc2n1,15000.0
CHEMBL2042557,ClC(Cl)(Cl)c1ccc2ccccc2n1,112500.0
CHEMBL2042558,O=[N+]([O-])c1cccc2ccc(C(Cl)(Cl)Cl)nc12,25000.0
CHEMBL2042559,O=[N+]([O-])c1cccc2nc(C(Cl)(Cl)Cl)ccc12,10000.0
CHEMBL2042560,O=[N+]([O-])c1cccc2ccc(CCl)nc12,18300.0
CHEMBL2042561,O=[N+]([O-])c1cccc2ccc(C(Cl)Cl)nc12,21500.0
CHEMBL2042562,CC(C)=Cc1ccc2cccc([N+](=O)[O-])c2n1,100000.0
CHEMBL2042563,C/C=C/c1ccc2cccc([N+](=O)[O-])c2n1,12000.0
CHEMBL2042564,CC/C=C/c1ccc2cccc([N+](=O)[O-])c2n1,10000.0
CHEMBL2042565,CCC/C=C/c1ccc2cccc([N+](=O)[O-])c2n1,16000.0
CHEMBL2042566,O=[N+]([O-])c1cccc2ccc(C(Br)Br)nc12,1200.0
CHEMBL2042567,O=[N+]([O-])c1cccc2ccc(C(Br)(Br)Br)nc12,100.0
CHEMBL2042568,O=[N+]([O-])c1ccc2nc(C(Cl)(Cl)Cl)ccc2c1,10000.0
CHEMBL2042569,CC(C)=C(Cl)c1ccc2cc([N+](=O)[O-])ccc2n1,25000.0
CHEMBL2042570,O=[N+]([O-])c1ccc2nc(C(Cl)Cl)ccc2c1,5600.0
CHEMBL2042571,CC(C)=Cc1ccc2cc([N+](=O)[O-])ccc2n1,100000.0
CHEMBL2042572,CC(C)=C(Cl)c1ccc2cccc([N+](=O)[O-])c2n1,100000.0
CHEMBL2042573,O=[N+]([O-])c1cccc2ccc(O)nc12,145150.0
CHEMBL2042574,COc1ccc2cccc([N+](=O)[O-])c2n1,75000.0
CHEMBL2042575,CNC(=O)c1ccc2cccc([N+](=O)[O-])c2n1,100000.0
CHEMBL2042576,CC(C)NC(=O)c1ccc2cccc([N+](=O)[O-])c2n1,100000.0
CHEMBL2042577,O=C(c1ccc2cccc([N+](=O)[O-])c2n1)N1CCCC1,100000.0
CHEMBL2042578,O=Cc1ccc2cccc([N+](=O)[O-])c2n1,40600.0
CHEMBL2042579,O=Cc1ccc2c([N+](=O)[O-])cccc2n1,92000.0
CHEMBL2042580,Clc1ccc2ccccc2n1,100000.0
CHEMBL2042581,O=[N+]([O-])c1cccc2ccc(Cl)nc12,100000.0
CHEMBL2042582,O=[N+]([O-])c1cccc2nc(Cl)ccc12,100000.0
CHEMBL2042583,Nc1ccc2cccc([N+](=O)[O-])c2n1,47900.0
CHEMBL2042584,O=[N+]([O-])c1cccc2nc(O)ccc12,100000.0
CHEMBL2042585,O=[N+]([O-])c1ccc2nc(O)ccc2c1,100000.0
CHEMBL2043025,COc1ccc2c(c1)C=C1Cn3c-2c(C2CCCCC2)c2ccc(cc23)C(=O)NS(=O)(=O)N(C)CCOCCN(C)C1=O,50000.0
CHEMBL2063962,Cc1ccc(S(=O)(=O)c2cc3ccccc3c3sc(C)nc23)cc1,2200.0
CHEMBL2063963,Cc1ccc(S(=O)(=O)c2cc3ccc(C)cc3c3sc(C)nc23)cc1,25000.0
CHEMBL2063964,Cc1ccc(S(=O)(=O)c2cc3cc(F)ccc3c3sc(C)nc23)cc1,3100.0
CHEMBL2063965,COc1cc2cc(S(=O)(=O)c3ccc(C)cc3)c3nc(C)sc3c2cc1OC,125000.0
CHEMBL2063966,Cc1ccc(S(=O)(=O)c2c(N)c3ccccc3c3sc(C)nc23)cc1,200.0
CHEMBL2063967,Cc1ccc(S(=O)(=O)c2c(N)c3cc(F)ccc3c3sc(C)nc23)cc1,200.0
CHEMBL2063968,Cc1nc2c(S(=O)(=O)c3ccccc3)cc3ccccc3c2s1,11300.0
CHEMBL2063969,Cc1ccc2cc(S(=O)(=O)c3ccccc3)c3nc(C)sc3c2c1,125000.0
CHEMBL2063970,Cc1nc2c(S(=O)(=O)c3ccccc3)cc3cc(F)ccc3c2s1,26000.0
CHEMBL2063971,COc1cc2cc(S(=O)(=O)c3ccccc3)c3nc(C)sc3c2cc1OC,125000.0
CHEMBL2063972,Cc1nc2c(S(=O)(=O)c3ccccc3)c(N)c3ccccc3c2s1,500000.0
CHEMBL2063973,Cc1nc2c(S(=O)(=O)c3ccccc3)c(N)c3cc(F)ccc3c2s1,500000.0
CHEMBL2063974,Cc1nc2c(S(=O)(=O)c3ccc(Cl)cc3)cc3ccccc3c2s1,6000.0
CHEMBL2063975,Cc1nc2c(S(=O)(=O)c3ccc(Cl)cc3)cc3cc(F)ccc3c2s1,3400.0
CHEMBL2063976,COc1cc2cc(S(=O)(=O)c3ccc(Cl)cc3)c3nc(C)sc3c2cc1OC,31200.0
CHEMBL2063977,Cc1nc2c(S(=O)(=O)c3ccc(Cl)cc3)c(N)c3ccccc3c2s1,1000.0
CHEMBL2063978,Cc1nc2c(S(=O)(=O)c3ccc(Cl)cc3)c(N)c3cc(F)ccc3c2s1,500.0
CHEMBL2147682,CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC=C4[C@@H]5[C@@H](C)[C@H](C)CC[C@]5(C(=O)n5ccnc5)CC[C@@]4(C)[C@]3(C)CC[C@H]2C1(C)C,400000.0
CHEMBL2147688,C[C@H]1[C@H](C)CC[C@]2(C(=O)n3ccnc3)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12,400000.0
CHEMBL2158040,COc1ccc2nccc([C@H](O)CC[C@@H]3CCN(CCSc4ccc[se]4)C[C@@H]3C(=O)O)c2c1,100000.0
CHEMBL2158041,COc1ccc2nccc([C@@H](O)CC[C@@H]3CCN(CCSc4ccc[se]4)C[C@@H]3C(=O)O)c2c1,100000.0
CHEMBL2158130,COc1cc(/C=N/NC(=O)c2nc(-c3ccc(C)cc3)no2)ccc1O,46600.0
CHEMBL2158133,COc1cc(/C=N/NC(=O)c2nc(-c3ccc(Br)cc3)no2)ccc1O,16900.0
CHEMBL2158134,COc1cc(/C=N/NC(=O)c2nc(-c3ccc([N+](=O)[O-])cc3)no2)ccc1O,14800.0
